Frequency (Hz),Polyestirene_1,Polyestirene_2,Polyestirene_3,Polyestirene_4,Polyestirene_5,Polyestirene_6,Polyestirene_7,Polyestirene_8,Polyestirene_9,Polyestirene_10,100-400 nm_1,100-400 nm_2,100-400 nm_3,100-400 nm_4,100-400 nm_5,100-400 nm_6,100-400 nm_7,100-400 nm_8,60-300 nm_1,60-300 nm_2,60-300 nm_3,60-300 nm_4,60-300 nm_5,60-300 nm_6,60-300 nm_7,60-300 nm_8,500-1000 nm_1,500-1000 nm_,500-1000 nm_3,500-1000 nm_4,500-1000 nm_5,500-1000 nm_6,500-1000 nm_7,500-1000 nm_8,60-300 nm,std(60-300 nm),100-400 nm,std(100-400 nm),500-1000 nm,std(500-1000 nm),Polyestirene,std(Polyestirene)
6849.287671,0.11755808805889018,0.09957023316903137,0.002353945181363381,9.028225913615962,7.357584627849132,0.0017968807248194272,0.29460554875532036,0.03786721188608091,0.04095678602796552,0.0037984546944762783,0.22593404360559988,0.22677998504554067,0.23152194060775616,0.21259241966089706,0.23165827427869118,0.22790465266330331,0.22137409152280865,0.24336572054680805,0.10610198310866076,0.117238506191685,0.1300264279274676,0.1267719182236826,0.21291312789252556,0.20956160878943206,0.21938976952746247,0.2283783114445591,0.22937685975748917,0.23506486361801537,0.22969229858186718,0.22442255261199778,0.2351761879200767,0.24287339320270104,0.2288739635202275,0.22187361897707975,0.16879770663818439,0.052882288760480456,0.2276413909914256,0.0088473200088934,0.2309192172736818,0.0066580484507577095,1.6984317689963038,3.446574323566363
7175.444227,0.057267994059906555,0.08560927664392116,0.00218580420202451,2.6876358198118395,7.843809760848477,0.001975103573937647,0.531134069741261,0.054897171752975336,0.03203258014659604,0.003554520672654195,0.1815343567186191,0.1875491653513422,0.18800121952777823,0.18619780087032967,0.19572245909863795,0.18401770345566498,0.18269532034858038,0.19633766352978949,0.0851898515674,0.09389218239094237,0.1074473574980026,0.10258583439195298,0.16850455471766948,0.169868507162029,0.1701758618622342,0.17222801182986652,0.17253005385830422,0.19319406555354968,0.19789681995618916,0.17116098498438803,0.1728755910724779,0.18451400922043903,0.20240289228964942,0.19347280951712598,0.13373652017751214,0.03951417981897626,0.18775696111259277,0.005579740067470085,0.18600590330651545,0.012503030929676447,1.1300102101453593,2.500583935903098
7501.600783,0.049279100166056425,0.0816003869750188,0.0018968759832150117,0.9998556163797749,1.3923525001296808,0.0017706837330352797,0.4104018142085677,0.03791763360586895,0.030779949474335797,0.0033886387403515095,0.1735043544872737,0.17746393465377605,0.17181666498345075,0.1810614790186424,0.17915633716634985,0.17004250332008103,0.16233094459091843,0.17288281639789593,0.0721515399169051,0.08747288351569879,0.09867492633378212,0.09852492671904123,0.152747530874188,0.15213450558206026,0.15513834273136484,0.15458609032102144,0.150381583234278,0.16474934076869793,0.1667164293549366,0.15333121922848714,0.14677277948761758,0.15103226595771305,0.1669993947412555,0.16031944950523686,0.12142884324925773,0.03542198920588225,0.1735323793272985,0.005913557534809402,0.15753780778477783,0.00811196035936867,0.30092431993959046,0.49584073893020186
7827.757339,0.09014373597898427,0.07784402843542317,0.0019588579268754068,0.7166569896313071,0.8610531914161424,0.0012990439486698598,0.21334578322483425,0.021933785566015288,0.030400542422759132,0.0032823948699222004,0.19481446557134374,0.22056491328745986,0.1956502968666402,0.2089437340780004,0.205798222464431,0.19154601674844918,0.19139964947310115,0.19629569896207658,0.08284040626915758,0.0969665579771751,0.10872086848091694,0.11042161736794534,0.18756049594310353,0.18935077208389162,0.19000805229581044,0.1920627570128483,0.17309031328048538,0.183106706604055,0.18519899602343615,0.18939440325183485,0.18307768003806044,0.1812309626182885,0.191463160430868,0.18681984687455633,0.1447414409288561,0.048845743228333544,0.20062662468143774,0.01027028686785606,0.18417275864019808,0.00563517261848722,0.20179183534209327,0.31779343097393076
8153.913894,0.08325412255959312,0.07741954437724508,0.0017551767756793751,0.6650616896979011,0.523666000531795,0.0017855069315288801,0.10910184798697996,0.018479173436194124,0.029836791221926243,0.0032799079191124856,0.22645034516578502,0.2507145036624532,0.23628984478333565,0.24646556318988816,0.25139974527496095,0.24511923917319423,0.24110584241251515,0.24466560258491543,0.10217663670306974,0.11665867272969248,0.13528302257005348,0.13324204868188017,0.2117395902590343,0.2105497645748593,0.2137874850982701,0.2204587501977078,0.2193521967120423,0.22348954305886093,0.2162857491371041,0.23549840000454067,0.2078964836054777,0.21340786445049556,0.23737525563969425,0.22810997945200917,0.16798699635182093,0.05045395349956795,0.24277633578088098,0.00820670203444995,0.22267693400752808,0.010466869173456432,0.15136397614379554,0.23886295162310134
8480.07045,0.04000595832640922,0.06785999738670695,0.0017607481316554527,0.7083677672872529,0.47135241264419236,0.001158566234118146,0.08841573192029227,0.016569079474760925,0.026095593168708714,0.003133113950622904,0.21790914823644789,0.2381729138600164,0.22228543039020088,0.23847140074874035,0.22929011014811784,0.23146499900514353,0.22971781865503413,0.23288212566754035,0.09916559540499052,0.11227460236775932,0.12962003057244328,0.12931950003463522,0.20827727947743285,0.21129113202175598,0.20972447177942546,0.21356137946162637,0.22275594217000877,0.2342149852123113,0.2148714257704838,0.22377464736955957,0.2143272056610035,0.20969000223319822,0.2260852856683939,0.21984843762994236,0.16415424889000862,0.05071986383600229,0.2300242433389052,0.007124366344631264,0.22069599146436267,0.007763157933075417,0.142471896852472,0.2440328182842425
8806.227006,0.028108343600221526,0.06416864914535551,0.0016306333996354528,1.4244396820293632,0.624748003885138,0.0013910129070473958,0.1526645009648203,0.015330023343572753,0.02306106025382101,0.0031395005604331807,0.17722029571250916,0.1966166693209019,0.1834504772784607,0.20034342478842446,0.19103709988824183,0.1827586957398338,0.1850015835581407,0.1884826476552607,0.07534312741994553,0.08966845258395134,0.10078892490432156,0.10173793774600659,0.15756485944473017,0.16255790190400093,0.16245651124352944,0.16557093362869643,0.17122584653845252,0.17784373206525805,0.17250474908865182,0.1767498814389903,0.17056519672065293,0.17189781875439278,0.1783268236735912,0.17633777738816547,0.12696108110939774,0.03841635287595029,0.18811386174272166,0.007646869455048769,0.1744314782085194,0.0031888664590335922,0.23386814100894085,0.45963642868131593
9132.383562,0.026304806403660223,0.06493612421026286,0.0016769718799920388,5.09909328255775,2.6506080904094844,0.0013916246769198597,0.1949808115370444,0.01524734900717007,0.02399566027937454,0.0029144087069122525,0.1530687827243606,0.16114657440655428,0.15094802342260186,0.1597236672921295,0.1544859883027345,0.15259275108330583,0.15355894729007438,0.15187590514130236,0.06370970948836713,0.076095707713185,0.08279494324007118,0.08676380007135585,0.13108407720321033,0.13146816695113026,0.1342499912283744,0.13559764374765412,0.15649078449179157,0.1473379005172875,0.14707442637849968,0.14970709502924123,0.14046704447446923,0.13980173613242183,0.15017584565264075,0.15176660342161447,0.10522050495541853,0.030562118223773083,0.1546750799578829,0.003728128536107519,0.1478526795122458,0.005593460280947135,0.8081149129668572,1.7172240552546338
9458.540117,0.02974152180797794,0.07056070521887385,0.001531595178876498,1.9078456395439365,4.021241003833155,0.0012619596615211042,0.11625825430789102,0.016591353769409747,0.027630788306670765,0.002938970241233363,0.16535674411088425,0.18575268737294975,0.17585613711060308,0.18768770185304542,0.17711775672804936,0.16870887511242177,0.17080921776194188,0.17766734616072088,0.0751485565180579,0.08695771074241715,0.10086362526364609,0.10091197189357409,0.16470605910956423,0.1645907676055135,0.164769242685643,0.16785504594616538,0.19254570658627645,0.17675614659917585,0.18019336877063316,0.1887034753316011,0.17941204235492617,0.16906657010603673,0.18437965732668665,0.1701790321280587,0.12822537247057267,0.0406625543581607,0.17611955827632703,0.00782885386879645,0.18015449990042437,0.008272438255953043,0.6195601791869547,1.333005655617899
9784.696673,0.03206487555303089,0.08660152026893107,0.0013997828709468947,0.8657499740753751,0.9742931199693268,0.0011153253315659571,0.07915675011158553,0.01907362190188179,0.03176748641891845,0.0029517601337214748,0.21152828220621406,0.23283802023668224,0.2222176112856486,0.21891250292831224,0.22853666895093297,0.2201694535842201,0.21910328981182695,0.22555675481228843,0.10384776778699668,0.12193395618363649,0.13314463862850648,0.13246745417741657,0.21670725178138453,0.22520678175899034,0.22650461606908415,0.21829480661631367,0.28008145221414593,0.23119036342545504,0.24110699200267488,0.24908286541567404,0.23916184762655895,0.23654176926794576,0.2583827911101985,0.22575568870380955,0.17226340912529112,0.0536749529111457,0.22235782297701573,0.006576968761661779,0.24516297122080782,0.01735386116570414,0.20941742166352842,0.3765917623738863
