class,C2b1,C2b2,C2b3,C2b4,C2b5,C2b6,C0b1,C0b2,C0b3,C0b4,C0b5,C0b6,C1b1,C1b2,C1b3,C1b4,C1b5,C1b6,C1b6 - C1b1,C1b6 + C1b1,
1,0.004240229,0.048327116,0.222734287,0.317101776,0.33552001,0.053336908,0.004061609,0.048638157,0.224303767,0.316265252,0.334350921,0.053552825,0.004492378,0.041117152,0.190885958,0.34456277,0.351114673,0.050587307,0.046094929,0.055079686,
1,0.004123788,0.048751544,0.224989224,0.312624727,0.336777352,0.053832625,0.004130799,0.049033989,0.226215353,0.311920819,0.335768279,0.053943145,0.004166223,0.041657689,0.194071971,0.337627639,0.353681126,0.051485003,0.04731878,0.055651225,
1,0.004394314,0.05259245,0.242385188,0.312214973,0.311435401,0.056732169,0.004440753,0.052684402,0.242707452,0.311783088,0.311333638,0.056795594,0.004867755,0.050561797,0.231058842,0.323761133,0.314482716,0.05564346,0.050775705,0.060511215,
1,0.004396648,0.052597274,0.242385161,0.312390405,0.311238258,0.056758343,0.004310196,0.052684709,0.242790019,0.312058133,0.311148239,0.056758065,0.004689559,0.049688155,0.227410856,0.327328164,0.315871733,0.055623955,0.050934397,0.060313514,
1,0.004574099,0.052574652,0.242365661,0.312292895,0.311240757,0.056724246,0.004403331,0.052703416,0.242650899,0.3119726,0.311302091,0.056747266,0.005062782,0.049583566,0.225183869,0.328029653,0.317312054,0.055468348,0.050405566,0.06053113,
1,0.004491589,0.052616836,0.242564912,0.312047872,0.311262943,0.056770456,0.004378571,0.052723691,0.242931366,0.311679183,0.311217615,0.056801781,0.004626936,0.050681617,0.230855525,0.326962155,0.312163611,0.055152849,0.050525913,0.059779785,
1,0.004559658,0.052605814,0.242294899,0.312227736,0.311364739,0.056722128,0.004337467,0.052699806,0.24277944,0.311953993,0.311215736,0.056773194,0.005008242,0.050632534,0.230205189,0.325413067,0.313745373,0.055386427,0.050378185,0.060394669,
1,0.0046103,0.052572308,0.242302861,0.312276848,0.311239473,0.056759032,0.004569706,0.052679639,0.242521026,0.312080916,0.31118606,0.056742859,0.005149182,0.050234182,0.229543181,0.325442587,0.314507202,0.055648369,0.050499186,0.060797551,
1,0.004514072,0.052581844,0.242498499,0.312145224,0.311288662,0.056733009,0.004294453,0.052675885,0.242778533,0.311938029,0.311267361,0.056798033,0.0050105,0.050413918,0.229682848,0.326090445,0.313902788,0.055344276,0.050333776,0.060354776,
1,0.004491948,0.052604991,0.242516878,0.312181195,0.311180618,0.056793369,0.004416676,0.052695696,0.242885135,0.311873996,0.311061427,0.056805625,0.004652209,0.050233455,0.22977863,0.326366296,0.313949676,0.055502303,0.050850094,0.060154512,
0,0.004355507,0.052693085,0.242978652,0.312340562,0.310643654,0.056721487,0.004477473,0.052701733,0.243146559,0.312143253,0.310525265,0.056743341,0.005028936,0.05033524,0.231734956,0.328448218,0.309490248,0.055263706,0.05023477,0.060292642,
0,0.004341174,0.052680406,0.242694797,0.312297944,0.310974827,0.056741993,0.004345068,0.052711859,0.242984199,0.312061234,0.310864927,0.056768609,0.004709957,0.049970726,0.227509798,0.332053211,0.311060578,0.055096954,0.050386997,0.059806911,
0,0.004377678,0.052633288,0.242698071,0.312510308,0.310719857,0.056802694,0.004333006,0.052697176,0.242811819,0.312519697,0.310626775,0.05675036,0.00483107,0.049704611,0.228808793,0.329670029,0.311854552,0.055515731,0.050684661,0.060346801,
0,0.004348143,0.052743839,0.243258575,0.311523243,0.311004281,0.056828745,0.004314265,0.052756403,0.243245905,0.311607517,0.310983817,0.05681209,0.004863946,0.049928011,0.231541728,0.327033199,0.311376684,0.055636605,0.050772658,0.060500551,
0,0.004364585,0.052757488,0.243106378,0.312189662,0.310533872,0.05677494,0.004351626,0.052735472,0.243253563,0.312054605,0.310536479,0.056812703,0.004661136,0.050571381,0.231391893,0.329495991,0.309266792,0.055015358,0.050354222,0.059676494,
0,0.004669193,0.052698843,0.242851488,0.312052909,0.310746575,0.056759106,0.004351702,0.052732208,0.243179159,0.311916713,0.310789245,0.056803719,0.005329321,0.050456073,0.231822817,0.326500123,0.310643342,0.055591902,0.050262581,0.060921223,
0,0.004372639,0.052741549,0.24319999,0.312054991,0.310525975,0.056817693,0.004458142,0.052766243,0.243288307,0.31188203,0.310491818,0.056827714,0.004885768,0.050459113,0.231015871,0.329592532,0.309463723,0.054997172,0.050111404,0.05988294,
0,0.004511783,0.052692858,0.242892213,0.312084818,0.310796789,0.056769589,0.004419252,0.052692656,0.243039542,0.311944169,0.310857378,0.056775382,0.005164398,0.050036925,0.230129369,0.327715535,0.311702799,0.055542601,0.050378204,0.060706999,
0,0.004375285,0.053111839,0.244784642,0.309397904,0.31094224,0.056998856,0.00438759,0.053103315,0.24488725,0.309323846,0.31090325,0.057001951,0.004915624,0.05319187,0.243271613,0.308793171,0.313382829,0.056158681,0.051243057,0.061074305,
0,0.004413024,0.053064714,0.24495997,0.309438065,0.310729028,0.057007882,0.004418496,0.053091084,0.244987262,0.309434103,0.310642539,0.057026655,0.004949409,0.053121801,0.243200443,0.309276269,0.313091343,0.056084918,0.051135508,0.061034327,
0,0.00440163,0.053072772,0.244890757,0.309409554,0.310848379,0.056982833,0.004384396,0.053139915,0.2449646,0.309334875,0.310767253,0.057018071,0.005049072,0.053226059,0.242617994,0.309110109,0.313785173,0.055931963,0.050882891,0.060981034,
0,0.00452512,0.05314215,0.244872896,0.309383767,0.31070169,0.05698836,0.004476528,0.053137187,0.24491398,0.309433101,0.310604073,0.057043814,0.005078054,0.053200599,0.24360662,0.30918299,0.312386355,0.056238097,0.051160044,0.061316151,
0,0.004557182,0.05306075,0.244827208,0.309314468,0.310858334,0.057000379,0.004364673,0.053126702,0.244929106,0.309381689,0.310806524,0.057001584,0.004915472,0.053237512,0.243827552,0.308856664,0.31268609,0.056166512,0.051251041,0.061081984,
0,0.004451475,0.053077124,0.244881314,0.309372561,0.310793615,0.057032716,0.004488384,0.053065289,0.244888513,0.309391508,0.310726609,0.057045314,0.004979499,0.053081161,0.243984096,0.30955169,0.31180586,0.056260608,0.051281109,0.061240107,
0,0.00445552,0.053074556,0.244880225,0.309391187,0.31084121,0.056965793,0.004636027,0.053136336,0.244859444,0.309313351,0.310705081,0.056975198,0.004902671,0.053242037,0.244230819,0.309187364,0.31187038,0.056217219,0.051314548,0.06111989,
0,0.004507637,0.053115827,0.24482768,0.309341664,0.310795107,0.057028463,0.004445617,0.053109104,0.244896948,0.309414746,0.31071728,0.057024529,0.004849318,0.053097134,0.243990244,0.309505159,0.311967025,0.056266225,0.051416908,0.061115543,
0,0.004350568,0.053110869,0.245018474,0.309002162,0.311232165,0.056928723,0.004310148,0.053132931,0.244994596,0.30910615,0.311116241,0.056971795,0.004703749,0.053104372,0.243199717,0.308779003,0.313766568,0.05617134,0.05146759,0.060875089,
0,0.004553116,0.053094933,0.244838972,0.30907724,0.311148175,0.056927421,0.004636344,0.05311656,0.24487725,0.309038867,0.311021687,0.05695887,0.005263634,0.053253145,0.242548606,0.308732995,0.313835495,0.056078259,0.050814625,0.061341894,
0,0.00441433,0.053108408,0.244889942,0.30909405,0.311194407,0.056936487,0.004401458,0.053134949,0.244933965,0.309043012,0.311133856,0.056966213,0.004886252,0.0529783,0.24123603,0.30836184,0.316607017,0.055708394,0.050822142,0.060594647,
0,0.004439844,0.053106989,0.244953174,0.308941282,0.311309833,0.056894507,0.004367074,0.053121559,0.245014352,0.308918688,0.311237553,0.056980341,0.00492482,0.053098269,0.241484086,0.308201485,0.316112598,0.055915313,0.050990493,0.060840132,
0,0.004554938,0.053119635,0.244827813,0.309136177,0.311041491,0.056971877,0.004352013,0.05316727,0.24495221,0.309062768,0.311079348,0.057010041,0.005182076,0.052871214,0.243502361,0.309541791,0.312647439,0.055991169,0.050809094,0.061173245,
0,0.004380888,0.053105484,0.244906575,0.309222423,0.31108304,0.05692637,0.004434246,0.053114043,0.244877433,0.309236747,0.310978638,0.056987873,0.00479467,0.05312965,0.243461496,0.309186294,0.312875276,0.056243484,0.051448815,0.061038154,
0,0.004576738,0.053149076,0.244868041,0.30900255,0.31108362,0.05696007,0.004485687,0.05314309,0.244950926,0.309082045,0.310977845,0.056995129,0.004942036,0.053046178,0.241201237,0.308152798,0.316608676,0.055822701,0.050880665,0.060764737,
0,0.004379725,0.053143985,0.244952905,0.309071879,0.311163232,0.05693639,0.004405904,0.053144639,0.244932367,0.309075735,0.311114484,0.056964896,0.004923225,0.053177482,0.243395846,0.309116149,0.312926667,0.05613388,0.051210656,0.061057105,
0,0.004475532,0.053132068,0.244831392,0.309415462,0.310819023,0.056957726,0.00434035,0.053130938,0.244897704,0.309364835,0.310836125,0.057038092,0.005235491,0.053181848,0.242780055,0.309145111,0.313312538,0.056036009,0.050800518,0.0612715,
0,0.00452821,0.053016877,0.244716445,0.309543649,0.31072651,0.057084934,0.004443266,0.053120101,0.244936667,0.309355792,0.310745453,0.057015948,0.004741213,0.052156845,0.242240711,0.311387767,0.312612484,0.056585458,0.051844244,0.061326671,
0,0.004547949,0.053097711,0.244814446,0.309345357,0.310796586,0.057014952,0.004360116,0.053102737,0.244866616,0.309441835,0.310815397,0.05703411,0.005384058,0.053301427,0.243234674,0.309109193,0.312436393,0.056177711,0.050793653,0.061561769,
0,0.00438951,0.053097713,0.24480889,0.309421237,0.310886707,0.057019225,0.004309845,0.053092495,0.244880807,0.309428238,0.31085369,0.05704268,0.004869305,0.05336225,0.243321587,0.309800065,0.312110704,0.056187708,0.051318403,0.061057012,
0,0.004463934,0.053119231,0.244801049,0.309414996,0.310829328,0.056982919,0.004440137,0.05312403,0.244927283,0.309368297,0.310703472,0.057051452,0.004959013,0.05335903,0.244026699,0.309457414,0.311637074,0.056200389,0.051241376,0.061159402,
0,0.004474415,0.053054128,0.244729624,0.309520352,0.310853381,0.056989097,0.004491566,0.053117716,0.244963087,0.309347344,0.31070822,0.056987426,0.005088854,0.053522981,0.249895856,0.31090581,0.305235327,0.055064207,0.049975353,0.060153061,
0,0.004501551,0.053132464,0.24480531,0.309432168,0.310756939,0.056985161,0.004361586,0.05310634,0.244898761,0.309354833,0.310804142,0.057079237,0.004949215,0.053305394,0.242326613,0.308817255,0.314295724,0.055994466,0.051045251,0.060943681,
0,0.004311315,0.053049558,0.244823803,0.309598761,0.310759806,0.057056815,0.004394868,0.05309618,0.244964528,0.309439448,0.310694652,0.057029401,0.0048665,0.051795614,0.242473979,0.311803779,0.312114862,0.056717995,0.051851496,0.061584495,
0,0.004616833,0.05308745,0.244793249,0.309017297,0.311211315,0.056913088,0.004362657,0.05309762,0.244989448,0.309053335,0.311147259,0.056967711,0.005517097,0.053326127,0.243139056,0.308200732,0.313273247,0.056198946,0.050681849,0.061716044,
0,0.004460535,0.053080492,0.244926825,0.30914776,0.311018924,0.057000499,0.004430845,0.053095292,0.244947836,0.309144336,0.31100086,0.057012461,0.004975885,0.053125389,0.243868592,0.309217138,0.312240096,0.056257703,0.051281818,0.061233588,
0,0.004613332,0.053115528,0.244887104,0.308850645,0.311250312,0.056924919,0.004613736,0.053132712,0.24496498,0.308848645,0.311116552,0.05696977,0.005531763,0.053331803,0.242783468,0.307892655,0.313945862,0.056198308,0.050666546,0.061730071,
0,0.004545811,0.053112187,0.244873406,0.309124991,0.311032672,0.056941776,0.00458558,0.053089339,0.244885234,0.309202615,0.310887792,0.056978521,0.005597151,0.053290751,0.243185119,0.308770617,0.312684081,0.05615059,0.050553439,0.061747742,
0,0.004468849,0.053090452,0.244852549,0.309041113,0.311253384,0.05694265,0.004443906,0.053098351,0.244960863,0.309033992,0.31113384,0.056971575,0.005071934,0.053394952,0.243427918,0.308309845,0.313265082,0.056189706,0.051117772,0.06126164,
0,0.004449655,0.053070286,0.245003816,0.30909567,0.311073928,0.056949909,0.004550041,0.053094456,0.244990645,0.30905277,0.310980688,0.056971415,0.005127043,0.053706791,0.242692736,0.30850167,0.313460485,0.056146848,0.051019805,0.061273891,
0,0.004445997,0.053097609,0.244910504,0.308966469,0.311290158,0.056923624,0.004667677,0.053111165,0.244905253,0.308879368,0.311119524,0.056958381,0.005650532,0.053322583,0.242535128,0.308050516,0.314146347,0.056005569,0.050355036,0.061656101,
0,0.004590514,0.053107647,0.244910391,0.309007334,0.311075624,0.056931262,0.004665236,0.053109718,0.244948116,0.308936535,0.311012004,0.056971056,0.005864387,0.053212549,0.243379377,0.30852862,0.312576261,0.056116785,0.050252398,0.061981171,
0,0.004462633,0.052997078,0.244807846,0.309713504,0.310440376,0.057164708,0.004415065,0.053042236,0.245008517,0.309524805,0.310388988,0.057197664,0.005219038,0.053235661,0.24527477,0.309386815,0.310002439,0.05642032,0.051201281,0.061639358,
0,0.004478985,0.052893612,0.244479775,0.309050675,0.311345879,0.057372244,0.004397223,0.052923584,0.244597461,0.309099269,0.311229556,0.057363187,0.004867493,0.052212258,0.239120751,0.302983956,0.321606983,0.05910287,0.054235376,0.063970363,
0,0.004749886,0.052999949,0.244783383,0.309615109,0.310325325,0.05711308,0.004427896,0.053021992,0.24493808,0.309623608,0.310439508,0.057141174,0.005828428,0.0533184,0.244025701,0.309583924,0.3106365,0.056170317,0.050341889,0.061998745,
0,0.004462041,0.052933611,0.244571798,0.309310261,0.311093531,0.057236101,0.004369777,0.052955574,0.244714386,0.309393701,0.310974385,0.057213742,0.004754263,0.052736549,0.242901507,0.30688298,0.315028552,0.057446991,0.052692728,0.062201254,
0,0.004588489,0.053008644,0.24487093,0.309657714,0.310328729,0.057118748,0.004427922,0.053018995,0.24493781,0.30969124,0.310372957,0.057134764,0.005078932,0.053493863,0.245641763,0.309441836,0.309430012,0.056436578,0.051357646,0.061515511,
0,0.0045504,0.05290418,0.244453128,0.309218682,0.311188023,0.057301966,0.004961044,0.052903029,0.244470513,0.309053583,0.310961185,0.057274553,0.006078356,0.052443052,0.241191403,0.304519375,0.317096734,0.058461395,0.05238304,0.064539751,
0,0.004447064,0.053022373,0.24486704,0.309732592,0.310359977,0.057146404,0.004427819,0.053044073,0.244990411,0.309591035,0.310372627,0.057161763,0.004975582,0.053188244,0.244860268,0.309691106,0.310318611,0.056524588,0.051549006,0.06150017,
0,0.004366503,0.052907996,0.244555394,0.309249994,0.311165759,0.057357193,0.004455917,0.052939726,0.244644385,0.309139743,0.311093134,0.057331511,0.005282069,0.052569638,0.242076203,0.305953936,0.315807807,0.058064415,0.052782346,0.063346484,
0,0.004407335,0.053053125,0.244757001,0.309800664,0.310393816,0.057159247,0.004402531,0.053083498,0.244830539,0.309703054,0.31044962,0.05712053,0.004990186,0.053543752,0.245623622,0.310160462,0.308933389,0.056262708,0.051272522,0.061252894,
0,0.004450291,0.053052098,0.244708101,0.309839956,0.310376124,0.057138196,0.004380923,0.053086966,0.244812692,0.309787312,0.310378948,0.057125658,0.005191931,0.05338655,0.245641668,0.310176291,0.308744208,0.056397019,0.051205087,0.06158895,
0,0.004462855,0.053048826,0.244775077,0.309800434,0.310372758,0.057114375,0.00438511,0.053054244,0.24487747,0.309757448,0.310412224,0.057097007,0.005026019,0.053597792,0.245389025,0.310220162,0.308970737,0.056324284,0.051298266,0.061350303,
0,0.004573707,0.053021121,0.244738259,0.309728961,0.310380784,0.057136679,0.004562399,0.053054364,0.244735655,0.309730902,0.310377549,0.057118274,0.005081033,0.053417789,0.245432654,0.310170815,0.308953766,0.056493069,0.051412035,0.061574102,
0,0.004547688,0.053066637,0.244757163,0.30974358,0.310380125,0.057098494,0.004419197,0.053080507,0.244837201,0.309722805,0.31041328,0.057132858,0.005122626,0.053572008,0.24561537,0.309976093,0.308920645,0.056267442,0.051144816,0.061390067,
0,0.004416907,0.0530467,0.244830429,0.309762002,0.310415281,0.057094321,0.004394193,0.053064997,0.244877023,0.309670702,0.310434196,0.0571283,0.004950983,0.053513363,0.245761134,0.310379675,0.308576751,0.056341519,0.051390536,0.061292502,
0,0.004515706,0.053040663,0.244777364,0.30976192,0.310357135,0.057123544,0.004425398,0.053078194,0.244894218,0.309726592,0.310366192,0.057102797,0.004953533,0.053544292,0.245904872,0.3101389,0.308698976,0.056276716,0.051323183,0.061230248,
0,0.00444311,0.053064013,0.244749791,0.309767421,0.310442565,0.057121171,0.004383239,0.053050942,0.244893907,0.309751903,0.310386275,0.057122824,0.005041088,0.05340684,0.245315121,0.309937532,0.309378744,0.056464206,0.051423117,0.061505294,
0,0.004544146,0.05302265,0.24480026,0.309689489,0.310427953,0.057100036,0.004315951,0.053056182,0.244940267,0.309648006,0.310493646,0.057130144,0.004954586,0.0533109,0.245160651,0.309974666,0.309710006,0.056409489,0.051454903,0.061364076,
0,0.004542691,0.053057772,0.244757958,0.30971538,0.310389166,0.057115741,0.004556211,0.053066601,0.244873888,0.309643476,0.310326441,0.057121313,0.005257663,0.053292243,0.245741318,0.310310703,0.308646221,0.056290473,0.05103281,0.061548137,
0,0.004518191,0.053050759,0.244779141,0.30971412,0.310427007,0.057096836,0.004357112,0.053060307,0.244861048,0.309638877,0.310575549,0.057100912,0.005173394,0.053267256,0.244852657,0.310125358,0.309838326,0.056261389,0.051087995,0.061434784,
0,0.004422199,0.053034558,0.244788764,0.309771233,0.310424821,0.057131909,0.004380784,0.053046638,0.244902566,0.30975857,0.310383967,0.057115622,0.00496057,0.053210509,0.245745343,0.310470114,0.30877867,0.056386818,0.051426248,0.061347387,
0,0.004452914,0.053071423,0.244802919,0.309659169,0.310502489,0.057095399,0.004432202,0.053067139,0.244846085,0.309592977,0.310537751,0.057113241,0.005227462,0.05325379,0.24456086,0.309787286,0.310375802,0.056320292,0.05109283,0.061547755,
0,0.004951351,0.053028302,0.244658304,0.309624187,0.310237487,0.057085637,0.004378898,0.053045346,0.244894423,0.309612772,0.310510616,0.05712862,0.00612501,0.053254693,0.244651701,0.309605752,0.309690882,0.05619623,0.050071221,0.06232124,
0,0.004984164,0.053025164,0.244652651,0.309543114,0.310302217,0.057085375,0.004947279,0.053039084,0.244755274,0.309413527,0.310366865,0.057088669,0.0055961,0.053323118,0.244400429,0.309719901,0.310185215,0.056271188,0.050675088,0.061867288,
0,0.004362794,0.053020297,0.244779078,0.309813043,0.310469976,0.057124132,0.004349681,0.053050847,0.244862587,0.309695309,0.310476335,0.057151988,0.005096217,0.053269479,0.245171132,0.310132408,0.309455427,0.056403721,0.051307504,0.061499939,
1,0.004395184,0.053012469,0.244822806,0.309600654,0.310629741,0.057136065,0.004357335,0.05305753,0.24486635,0.309551086,0.310652137,0.057107246,0.005071136,0.053990503,0.244225491,0.309656276,0.310522481,0.056072665,0.051001529,0.061143801,
1,0.004429915,0.053008945,0.244775621,0.309732051,0.310527803,0.057107665,0.004361522,0.053041692,0.244835767,0.309623136,0.310620093,0.057122267,0.004954732,0.053812773,0.245684219,0.310052192,0.308908128,0.056130713,0.05117598,0.061085445,
1,0.004396868,0.053044304,0.244854453,0.309554387,0.310629421,0.057117899,0.004344094,0.05304712,0.244896062,0.309525752,0.310694226,0.057106679,0.004994991,0.053771681,0.244367444,0.30949557,0.310743577,0.056196608,0.051201618,0.061191599,
1,0.004552163,0.05303121,0.244742017,0.309638237,0.310519874,0.057108906,0.004665908,0.053030587,0.244747622,0.309429733,0.310608232,0.057118205,0.005369322,0.053695537,0.245236639,0.309907754,0.309342976,0.056001503,0.050632182,0.061370825,
1,0.004426406,0.053034328,0.244848308,0.309638321,0.310579515,0.057067825,0.004415548,0.053023196,0.244872558,0.309521838,0.310655211,0.057106483,0.005350483,0.053897591,0.245294521,0.309654875,0.30917986,0.056152967,0.050802484,0.06150345,
1,0.004374336,0.053069397,0.244742959,0.30968395,0.310593821,0.057126839,0.004419416,0.053019577,0.244868817,0.309525535,0.310662323,0.057107593,0.0051182,0.053898328,0.244983098,0.309769706,0.309612164,0.056126065,0.051007864,0.061244265,
1,0.004429819,0.053061442,0.244855069,0.30959851,0.310548953,0.057114682,0.004380219,0.05302179,0.244872025,0.309454579,0.310745166,0.05712122,0.005133178,0.054117343,0.243635978,0.309647249,0.311046,0.055957428,0.050824249,0.061090606,
1,0.004394504,0.053042561,0.244849708,0.309655563,0.310521387,0.057116608,0.004502233,0.053018933,0.244929788,0.309409146,0.310619535,0.057124872,0.005271684,0.054009945,0.244899156,0.309721088,0.309472386,0.056130313,0.05085863,0.061401997,
0,0.004417223,0.053037513,0.244664971,0.309600167,0.310650152,0.057200243,0.004396918,0.052979169,0.244642782,0.309533204,0.310814671,0.057217035,0.005176777,0.054732105,0.24846125,0.309097816,0.306580285,0.055334416,0.050157639,0.060511194,
0,0.004776103,0.053031228,0.244691612,0.309455081,0.310449083,0.057168901,0.004783917,0.05301332,0.244418353,0.309297568,0.310772607,0.057298403,0.005541499,0.054508033,0.249445881,0.30995613,0.304492593,0.055475648,0.049934149,0.061017147,
0,0.004523045,0.053008236,0.244657039,0.309680898,0.310563916,0.057145102,0.004386021,0.053008552,0.244697533,0.309524177,0.310770537,0.057200435,0.005237918,0.054969132,0.248831048,0.309535395,0.305541568,0.05522391,0.049985992,0.060461828,
0,0.004683358,0.053119174,0.244832845,0.30946035,0.310324679,0.057140976,0.00482325,0.053076243,0.244714688,0.309243581,0.310546722,0.057184626,0.005897145,0.054891305,0.250271982,0.310401091,0.302720125,0.055160764,0.049263619,0.061057908,
0,0.00451129,0.053028292,0.24474405,0.309617755,0.310558154,0.057123009,0.00440055,0.053031081,0.244734651,0.309509171,0.310734594,0.057185093,0.005450946,0.054649711,0.24884444,0.308842192,0.306130219,0.05548364,0.050032694,0.060934585,
0,0.004517075,0.052999077,0.244597768,0.309735393,0.310539738,0.057176326,0.004363514,0.053020085,0.244606054,0.309626846,0.310740638,0.057232795,0.005129483,0.054846625,0.250171301,0.309504641,0.304416565,0.055294336,0.050164853,0.060423819,
0,0.004477357,0.053012312,0.244739246,0.309745144,0.310453265,0.05715059,0.004500385,0.053025778,0.244683764,0.309563374,0.310634968,0.057177233,0.006281942,0.055584791,0.251208455,0.308967649,0.302414584,0.054606947,0.048325006,0.060888889,
