Frequency (Hz),Polyestirene,100-400 nm,60-300 nm,500-1000 nm
90671.5225,1.86625E-05,0.000752342,0.000677153,0.000500696
90997.67906,1.86343E-05,0.000764591,0.000599097,0.00042824
91323.83562,2.42378E-05,0.000477383,0.000406317,0.000290124
91649.99217,2.31054E-05,0.000317877,0.000373287,0.000229334
91976.14873,2.41715E-05,0.000525909,0.000520022,0.000360369
92302.30528,2.21375E-05,0.000705258,0.000718268,0.000513169
92628.46184,2.36637E-05,0.000705402,0.000640281,0.000464003
92954.6184,1.85016E-05,0.000517048,0.000470148,0.000318834
93280.77495,1.15645E-05,0.000299461,0.000347852,0.000226667
93606.93151,1.27602E-05,0.000402917,0.00044867,0.000298123
93933.08806,1.35906E-05,0.00067252,0.00061235,0.000435526
94259.24462,1.83554E-05,0.000723497,0.000607063,0.000422832
94585.40117,1.7335E-05,0.000517274,0.000426103,0.000291839
94911.55773,2.73463E-05,0.000322116,0.000334148,0.000221595
95237.71429,4.60412E-05,0.000298867,0.000407147,0.000268937
95563.87084,5.34538E-05,0.000586274,0.000541443,0.000386023
95890.0274,3.87267E-05,0.000752996,0.000594767,0.000438622
96216.18395,4.11103E-05,0.000549352,0.000434637,0.00031035
96542.34051,5.15484E-05,0.000357133,0.000289042,0.000210501
96868.49706,4.25183E-05,0.000204184,0.000259488,0.000179653
97194.65362,3.23222E-05,0.000366506,0.000239483,0.000184372
97520.81018,5.08669E-05,0.000831767,0.000760385,0.000527152
97846.96673,7.1199E-05,0.000280707,0.000567671,0.000320423
98173.12329,0.000491212,0.000286779,0.000371495,0.000240686
98499.27984,1.53576E-05,0.00030581,0.000213766,0.000146042
98825.4364,7.39974E-08,0.000148163,7.02915E-05,4.96689E-05
99151.59295,3.23294E-06,7.37562E-06,3.43879E-05,1.92877E-05
99477.74951,1.2102E-05,0,0.000144452,8.34729E-05
99803.90607,1.09996E-05,0.000138047,0.00024514,0.000176792
100130.0626,7.24029E-06,0.000269617,0.000210414,0.000158094
100456.2192,2.28292E-06,0.000212246,8.03067E-05,7.48407E-05
100782.3757,0,6.76136E-05,0,5.12127E-06
101108.5323,4.60626E-06,4.1245E-05,8.0183E-05,4.3105E-05
101434.6888,1.20262E-05,0.00017923,0.000230486,0.000155091
101760.8454,1.10673E-05,0.00032696,0.000278742,0.000197579
102087.002,1.21628E-05,0.000328073,0.000205329,0.000153241
102413.1585,2.04041E-05,0.000151261,0.000131938,9.22856E-05
102739.3151,3.87723E-05,6.37323E-05,0.000191369,0.000109035
103065.4716,7.67262E-05,0.000210837,0.000300073,0.000189561
103391.6282,0.0003748,0.000776117,0.000542927,0.000331389
103717.7847,0.000299721,0.000655422,0.000355642,0.000227127
104043.9413,0.000103282,0.000181121,6.39311E-05,5.02588E-05
104370.0978,0.000240255,0.000278123,0.000245574,0.000151936
104696.2544,0.000593957,0.000251552,0.000476007,0.000281803
105022.411,0.000429397,0.00038478,0.000465966,0.00029112
105348.5675,0.000384537,0.00045456,0.000352736,0.000249121
105674.7241,0.00045473,0.000392753,0.000329976,0.000206217
106000.8806,0.000431936,0.000257834,0.000294757,0.000176837
106327.0372,0.000443442,0.000357524,0.000450496,0.000285651
106653.1937,0.000478485,0.000547846,0.000531307,0.000368294
106979.3503,0.000458812,0.000557705,0.000478631,0.000329022
107305.5068,0.000421355,0.000435677,0.000315452,0.0002319
107631.6634,0.000427944,0.000258063,0.000306856,0.000194882
107957.82,0.000440789,0.000254619,0.000400995,0.000259503
108283.9765,0.00045466,0.000397085,0.000487018,0.000339731
108610.1331,0.000445779,0.00050935,0.000442108,0.000310164
108936.2896,0.000426683,0.00038632,0.000297056,0.000211679
109262.4462,0.000394237,0.000258616,0.000261624,0.00016572
109588.6027,0.000423184,0.000242946,0.000372565,0.00023047
109914.7593,0.000440373,0.000380087,0.000472892,0.000311623
110240.9159,0.000443602,0.000446142,0.000464889,0.000314867
110567.0724,0.000378111,0.000316511,0.000267624,0.000198846
110893.229,0.000234309,0.00010873,7.21819E-05,5.27158E-05
111219.3855,0.000143445,7.69732E-06,7.23169E-06,0
111545.5421,0.000176881,7.16558E-05,2.88967E-05,3.30716E-05
111871.6986,0.000297855,0.000137789,0.000109202,7.51274E-05
112197.8552,0.000385206,0.000153915,0.000175398,0.000122855
112524.0117,0.000419188,0.000159999,0.00029206,0.000181642
112850.1683,0.000410799,0.000237509,0.000419426,0.000262026
113176.3249,0.000409846,0.000407453,0.000484438,0.00032416
113502.4814,0.000423902,0.000490318,0.000413712,0.000281484
113828.638,0.000427576,0.000397094,0.000278234,0.000192283
114154.7945,0.000449096,0.000271007,0.000259167,0.000153729
114480.9511,0.000458269,0.000281561,0.000361591,0.000228844
114807.1076,0.000448143,0.000423313,0.000466603,0.000299212
115133.2642,0.000432651,0.000496893,0.000421872,0.000282189
115459.4207,0.000449092,0.000401761,0.000298057,0.000202447
115785.5773,0.000470069,0.000246044,0.00028622,0.000157413
116111.7339,0.00046396,0.000254824,0.000377401,0.000238355
116437.8904,0.000455092,0.000423202,0.000513394,0.000331736
116764.047,0.000444323,0.000603989,0.00051904,0.000346969
117090.2035,0.000448551,0.000578913,0.000405841,0.000279732
117416.3601,0.000525015,0.00039926,0.000373799,0.00022223
117742.5166,0.000607649,0.000322742,0.000479467,0.00028855
118068.6732,0.000934476,0.000535613,0.000746901,0.000468337
118394.8297,0.000824044,0.000796285,0.000797095,0.000519865
118720.9863,0.000636315,0.000605316,0.00050856,0.000358399
119047.1429,0.000696952,0.000547396,0.00048276,0.00030386
119373.2994,0.000905454,0.00056365,0.000637675,0.000391571
119699.456,0.000912666,0.000745729,0.001022667,0.000501761
120025.6125,0.001064643,0.001077906,0.001163595,0.000624537
120351.7691,0.001409165,0.001655226,0.002179999,0.000862873
120677.9256,0.000917502,0.000793413,0.00121588,0.000567846
121004.0822,0.000870495,0.000638058,0.001693506,0.000557871
121330.2387,0.000896707,0.000673759,0.001292089,0.000999495
121656.3953,0.000902179,0.000844085,0.001186376,0.000866359
121982.5519,0.000865879,0.000888888,0.000839277,0.00102417
122308.7084,0.000829014,0.000722068,0.000627823,0.000751047
122634.865,0.000878745,0.000603163,0.000630529,0.000605541
122961.0215,0.000878302,0.000620841,0.000762866,0.000633887
123287.1781,0.000880256,0.000786938,0.000852655,0.000590729
123613.3346,0.000871675,0.000875643,0.000846253,0.000546496
123939.4912,0.000799096,0.000805243,0.000694878,0.000408608
124265.6477,0.00070623,0.000561682,0.00060823,0.000326957
124591.8043,0.000689101,0.000452825,0.000666092,0.000347735
124917.9609,0.000715558,0.000534028,0.001035281,0.000694755
125244.1174,0.000714949,0.000830891,0.000520726,0.000410235
125570.274,0.000752521,0.000367499,0.000366387,0.000322578
125896.4305,0.000735947,0.000335585,0.000298441,0.000234878
126222.5871,0.000876348,0.00040613,0.000305991,0.000230673
126548.7436,0.000919092,0.00049523,0.000364308,0.000247942
126874.9002,0.000944063,0.000520119,0.000429231,0.000286236
127201.0568,0.001017793,0.000530848,0.000455587,0.000307073
127527.2133,0.001155943,0.000530866,0.00047814,0.000306359
127853.3699,0.001419303,0.000531913,0.000513981,0.000315822
128179.5264,0.001158359,0.00048858,0.000558927,0.00030628
128505.683,0.001154506,0.000473535,0.000535605,0.000334397
128831.8395,0.001479116,0.000493502,0.000505127,0.000371896
129157.9961,0.001861032,0.000505944,0.000497187,0.000329744
129484.1526,0.001684829,0.000537997,0.000443642,0.000301054
129810.3092,0.002195921,0.000559919,0.000470668,0.000303242
130136.4658,0.002865705,0.00049048,0.000420364,0.000294169
130462.6223,0.001589097,0.000443768,0.000418561,0.000258617
130788.7789,0.001555213,0.000406463,0.000398005,0.000244936
131114.9354,0.002106455,0.000418789,0.000386442,0.000245262
131441.092,0.001546122,0.000449219,0.000423046,0.00025717
131767.2485,0.001579269,0.000463302,0.000452212,0.000292335
132093.4051,0.002171835,0.000467596,0.000576164,0.000380153
132419.5616,0.001375053,0.000422237,0.000450572,0.000318312
132745.7182,0.001053667,0.00035734,0.000371437,0.000243509
133071.8748,0.000949128,0.0003258,0.00031954,0.000198453
133398.0313,0.000904132,0.000429836,0.000354559,0.000217773
133724.1879,0.001043222,0.000505421,0.000410457,0.000265411
134050.3444,0.000979615,0.000573279,0.000439428,0.000287427
134376.501,0.00101169,0.000601372,0.000449725,0.000307005
134702.6575,0.001090617,0.00053637,0.00042856,0.000294073
135028.8141,0.00133175,0.000463853,0.000421705,0.00028756
135354.9706,0.0012477,0.000430597,0.000451917,0.000299359
135681.1272,0.001784156,0.000422479,0.000489187,0.00034736
136007.2838,0.002366213,0.000421413,0.000463414,0.000273645
136333.4403,0.001707393,0.000395966,0.000394553,0.000251592
136659.5969,0.00269078,0.000379026,0.000375833,0.000240404
136985.7534,0.005169993,0.000419396,0.000387179,0.000254288
137311.91,0.002115807,0.000440197,0.000396128,0.00025657
137638.0665,0.001775193,0.000427861,0.000385286,0.000268888
137964.2231,0.001828972,0.000371347,0.00037398,0.000235774
138290.3796,0.001102076,0.000272656,0.000352519,0.000253918
138616.5362,0.000969584,0.000248332,0.000370085,0.000287136
138942.6928,0.001699842,0.000318701,0.000459836,0.000397935
139268.8493,0.001296526,0.000428627,0.000560446,0.000439496
139595.0059,0.000963227,0.000457125,0.000737236,0.000380131
139921.1624,0.000860142,0.000408482,0.000560251,0.000314388
140247.319,0.000802833,0.000284234,0.000415528,0.000203754
140573.4755,0.000853545,0.000239619,0.000328181,0.000162752
140899.6321,0.000842898,0.000314005,0.000352134,0.000207463
141225.7886,0.000902972,0.000434562,0.00041069,0.000252359
141551.9452,0.000943973,0.000468813,0.000423783,0.000298024
141878.1018,0.000891044,0.000428747,0.000425135,0.000313324
142204.2583,0.000839217,0.000384977,0.000411578,0.000339017
142530.4149,0.000935706,0.000448384,0.000557286,0.000431783
142856.5714,0.00076557,0.000385582,0.00048785,0.000353983
143182.728,0.000958637,0.000497018,0.000810377,0.0004169
143508.8845,0.000841699,0.000417322,0.000640501,0.000315086
143835.0411,0.000826596,0.000467348,0.00063459,0.000322456
144161.1977,0.000898167,0.000529946,0.000553121,0.000346894
144487.3542,0.000813173,0.000528635,0.000493128,0.000338852
144813.5108,0.000949033,0.000621926,0.000545709,0.000437648
145139.6673,0.001059959,0.000649678,0.000636876,0.000553319
145465.8239,0.001077731,0.000573555,0.000690687,0.000582093
145791.9804,0.001011395,0.000584847,0.000672738,0.000632736
146118.137,0.000946019,0.000520906,0.000813756,0.000548441
146444.2935,0.000932579,0.000507347,0.000704727,0.000527398
146770.4501,0.00101244,0.000552175,0.000946271,0.000458426
147096.6067,0.001118873,0.000634522,0.00086796,0.000436625
147422.7632,0.001110295,0.000638522,0.00096325,0.0004264
147748.9198,0.001061352,0.000563107,0.000792293,0.000348796
148075.0763,0.000924753,0.000465809,0.000649714,0.000308993
148401.2329,0.000847005,0.000434362,0.000561983,0.000282397
